nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,started_at,finished_at,nps,occurrences,hash,fen,account_id,worker_id,name
197839051,44085753,83350,4783073,1544160,2107730,8758,964,0,20547,0,0,0,1739401204,1739401208,4.945976e+07,1,2393573594684107571,r3k2r/p1ppqpb1/bn2pnp1/3PN2Q/1p2P3/2N4p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
148612404,28574940,67073,3495344,1225160,4568917,9213,3284,0,2248,0,32,0,1739401204,1739401208,3.71531e+07,1,10713934886677657171,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R2K3R b kq - 0 1,1,0,Timmoth
139601450,26478444,65259,3270488,95240,6013819,35606,11796,0,3184,0,1,0,1739401204,1739401208,3.490036e+07,1,9177158472210327567,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R4K1R b kq - 0 1,1,0,Timmoth
172063416,32926344,76553,4129740,616996,841975,550,5,0,8623,0,0,0,1739401204,1739401208,4.3015856e+07,1,13671638790901499149,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R4RK1 b kq - 0 1,1,0,Timmoth
148701308,28678498,68808,3537017,1191616,1018500,284,2,0,4346,0,0,0,1739401204,1739401208,3.7175328e+07,1,18150444503372353925,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/2KR3R b kq - 0 1,1,0,Timmoth
141076301,24483982,67975,3398839,38680,936516,4926,418,0,1442,0,0,0,1739401203,1739401206,4.7025432e+07,1,17233212535562733093,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2QPp/PPPBBP1P/R3K2R b KQkq - 0 1,1,0,Timmoth
135208177,25123455,66420,3260167,36740,900199,5019,418,0,1323,0,0,0,1739401203,1739401206,4.5069392e+07,1,1676799373718525827,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P1P1/2N2Q1p/PPPBBP1P/R3K2R b KQkq g3 0 1,1,0,Timmoth
140737072,25105943,66778,3606742,1031208,1407351,4753,8,0,757,0,4,0,1739401203,1739401206,4.6912356e+07,1,1297004786384936131,r3k2r/p1ppqpb1/bn2pnp1/3P4/1p2P3/2NN1Q1p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
153953689,29481000,74773,3702163,1224060,1658708,4565,408,0,4936,0,0,0,1739401203,1739401207,3.8488424e+07,1,5721946935118280048,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/1PN2Q1p/P1PBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
158328615,29178632,72821,3708823,25928,1078954,5475,429,0,1379,0,1,0,1739401203,1739401207,3.9582152e+07,1,3283114767199782481,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1P/PPPBBP1P/R3K2R b KQkq - 0 1,1,0,Timmoth
203255191,36637213,88064,4675540,1377388,2093571,7571,492,0,7336,0,0,0,1739401203,1739401207,5.0813796e+07,1,11137765176549318045,r3k2r/p1ppqpb1/bn2Pnp1/4N3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
151133066,27841512,70712,3529280,1326484,1645340,2592,442,0,6318,0,0,0,1739401203,1739401207,3.7783264e+07,1,8675970176370782763,r3k2r/p1ppqpb1/bn1Ppnp1/4N3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
165673862,29011998,129199,3930106,1327992,1874254,5067,440,0,7450,0,0,0,1739401203,1739401207,4.1418464e+07,1,4060286012729056452,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/5Q1p/PPPBBPPP/RN2K2R b KQkq - 0 1,1,0,Timmoth
165415976,29077143,130992,3931646,1317808,1666442,3203,64,0,5719,0,0,0,1739401203,1739401207,4.1353992e+07,1,5190199649617209423,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/5Q1p/PPPBBPPP/R2NK2R b KQkq - 0 1,1,0,Timmoth
191260040,36878644,71646,4492166,1543352,2084597,5101,444,0,8480,0,0,0,1739401203,1739401207,4.7815008e+07,1,25606845183401303,r3k2r/p1ppqpb1/bn2pnp1/3PN3/Np2P3/5Q1p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
166970874,30918524,127505,3942384,1473860,1781256,1795,134,0,1824,0,0,0,1739401203,1739401207,4.174272e+07,1,3970023648256575719,r3k2r/p1ppqpb1/bn2pnp1/1N1PN3/1p2P3/5Q1p/PPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
