nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,total_checks,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,total_mates
239012043652,31824115416,112010,0,0,4039747797,47472313,12525743,0,4099745853,2869806,2773,27407,0,2899986
264214109378,39335558164,127167,0,0,4630993851,52818218,13852749,0,4697664818,3462305,3406,30149,0,3495860
286044117401,37494064928,558120,0,0,5692775776,52953930,13800228,0,5759529934,4862352,2249,142952,0,5007553
317670775089,46048885379,710416,0,0,5425525615,62560913,16352924,0,5504439452,2525881,1,8534,0,2534416
271689917931,36162437702,600347,0,0,4621435286,50764333,13225845,0,4685425464,2882336,0,8061,0,2890397
284751983301,34302685808,622281,0,0,4903822842,55538976,14522861,0,4973884679,3437576,3536,31600,0,3472712
339913662701,53191795678,1153075,0,1579524,2201481384,34810384,8521506,0,2244813274,3981098,5359,15526,0,4001983
182334597137,23212110189,586966,0,0,3038317543,36887431,9953432,0,3085158406,2545258,2075,22198,0,2569531
169676078575,21899356985,561274,0,0,2647880547,33268702,9042697,0,2690191946,2421187,1989,21770,0,2444946
232369871568,30014307641,659569,0,0,3959115836,45372991,12111006,0,4016599833,3179625,2772,26412,0,3208809
247622346749,32740311003,708115,0,0,4010919521,45277929,12081739,0,4068279189,3502832,2869,26312,0,3532013
272954987107,40732816019,754592,0,0,4456370037,49246871,13077173,0,4518694081,3802353,3203,28258,0,3833814
260276085890,36326600881,581128,0,0,4393781598,49728185,13093498,0,4456603281,3614027,3369,29004,0,3646400
457843968833,74088207769,799352,0,0,8777844760,221203776,65878980,0,9064927516,8241363,1991,134184,0,8377538
184236993194,23120658183,505199,0,0,3227547883,114652988,34052546,0,3376253417,730101,1850,83162,0,815113
261022988465,33177272710,627195,0,0,4677991506,156255433,46345539,0,4880592478,3274741,5066,105977,0,3385784
357452428358,54625619473,1386545,0,313652,3607519988,238321369,65218403,0,3911059760,4318240,2913,141195,0,4462348
276769253596,35653407237,648935,0,0,5006577630,162309382,48137182,0,5217024194,1132274,564,109408,0,1242246
266411463049,39132519782,291900,0,0,4379004783,50446343,13340109,0,4442791235,3047913,3081,27693,0,3078687
27840285856,3386193570,19169,0,0,422254180,2897837,847587,0,425999604,105762,4,88,0,105854
243830203635,30837700126,436891,0,0,4131032665,48414474,12762809,0,4192209948,2916644,2852,27824,0,2947320
243445458227,30777025075,320728,0,0,4113116017,48075924,12679737,0,4173871678,2922605,2803,27628,0,2953036
252853963972,35482741386,435278,0,0,4278301232,49711436,13134925,0,4341147593,3001003,3103,28004,0,3032110
237745387268,32995949140,385828,0,0,4189158184,50572175,13221859,0,4252952218,3052829,3106,29648,0,3085583
285586639501,46426322218,491632,0,0,4967103916,58396249,15158136,0,5040658301,2843924,1112,34690,0,2879726
210091588312,29442766627,561184,0,0,4011690227,21682176,6991593,0,4040363996,4163468,8465,1735,0,4173668
220870148919,27301905692,532702,0,0,3662718437,45541309,12333656,0,3720593402,2883463,856,26503,0,2910822
274926958289,34132386202,627110,0,0,4623581086,51037695,13510351,0,4688129132,3597523,1385,28605,0,3627513
298954728547,37440569766,725605,0,0,2613011788,15336371,3578768,0,2631926927,3705186,1277,7139,0,3713602
345712263540,47028800269,2994024,0,79492,5788997738,51379428,13113005,0,5853490171,3189123,540,25995,0,3215658
229275262647,29111888189,472805,0,0,4011513842,47828937,12726040,0,4072068819,2199915,290,26768,0,2226973
276696805010,38232986787,636948,0,0,4835005682,57424108,15258920,0,4907688710,3735071,1064,32507,0,3768642
244344394201,31991862229,571677,0,0,4156448082,48501571,12764458,0,4217714111,2977423,3070,28738,0,3009231
228756732529,30256495589,548484,0,0,3867359148,46141040,12198353,0,3925698541,2877592,3164,28355,0,2909111
217033021864,28758610999,521790,0,0,3655660952,44084694,11661643,0,3711407289,2741823,2989,28002,0,2772814
191324612040,25411790018,473225,0,0,3180453163,37140044,9743779,0,3227336986,2338215,2819,25409,0,2366443
219910819221,29192253662,535942,0,0,3710529516,44169480,11678768,0,3766377764,2533926,2236,24216,0,2560378
250455068576,32541143576,579323,0,0,4253844306,47165478,12410856,0,4313420640,1905327,842,12039,0,1918208
262975984879,34406813020,608109,0,0,4468930298,49294771,12965458,0,4531190527,2014906,898,12503,0,2028307
279866539575,36587980008,633815,0,0,4756897336,51790371,13564118,0,4822251825,2084953,951,12807,0,2098711
278391795980,36318019335,632495,0,0,4689520941,48391123,12505526,0,4750417590,2318223,990,11267,0,2330480
234167617426,30292853639,553344,0,0,4132513774,47921072,12706832,0,4193141678,3206219,2996,30069,0,3239284
248416588794,31509958114,578852,0,0,4200769484,46031038,11975935,0,4258776457,3491405,4000,30860,0,3526265
295868930380,38473524311,720589,0,0,5062409121,51327906,13218628,0,5126955655,3802143,1707,29812,0,3833662
308842023528,40640129053,788224,0,0,2757040094,19189377,4535120,0,2780764591,3464181,1599,8591,0,3474371
343138348836,43490699672,764280,0,0,2920310057,3114782,776500,0,2924201339,6549306,193,5470,0,6554969
