nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,total_checks,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,total_mates
1825396176881632,133422018761908,256209937390,2389513643844,42679776808,34125451460182,61506103239,10645722577,54385,34197603340383,305600482829,52025512,1290961490,0,306943469831
2572564331526038,187973586382980,355112824266,3284405589263,59694337280,47467586918338,87318604237,12958222741,62089,47567863807405,460445876569,72846527,1968730088,0,462487453184
2407514849528875,167854956125378,310372038302,2945484559026,63949042312,43853766276282,74147101584,12678059762,60537,43940591498165,426845598763,72896083,1710367847,0,428628862693
2412357918298534,207215712559075,341084479586,2681612741482,64214829164,40569545964219,92062662871,14615140419,57260,40676223824769,406321200115,67051789,2457302903,0,408845554807
2751675948507059,193684301770212,337038671068,3670131681374,67442181088,41104788848518,69644049943,10347223070,12843,41184780134374,370011878792,46255999,347495835,0,370405630626
3119892147087203,243332448493149,429485630981,3829297361440,75609200368,56656268487255,72478217437,23031712224,13285,56751778430201,436236661224,58136864,1432245124,0,437727043212
4588998634450632,315736370982386,575427910577,5437812885009,131454908640,105850629521206,216445007810,21545371982,21221,106088619922219,435445263672,248161348,5890449388,0,441583874408
6326899070222383,518293759099573,794652780700,7863907988552,169343314604,147981053933403,386836237647,51567793918,62868,148419458027836,616870044184,270930781,6212438538,0,623353413503
7160631171539800,515982190213121,827869183326,9587633531918,149507851708,123394397735410,235360931128,58340668391,728716,123688100063645,285966160871,233920413,321635294,0,286521716578
7263638936690183,603225735783530,875774669784,9255572622169,157506281976,152725050077322,403177509245,160469379927,739389,153288697705883,473369086613,303711778,431799137,0,474104597528
1552858858446419,102571575395434,212990266732,1947242196258,45993512676,41616962198167,157938472827,14284224191,246171,41789185141356,451312301122,344174600,660136854,0,452316612576
2050768802609121,155413330547598,303580097461,2731849703280,56771023280,52769643149881,200284367573,30965507422,297062,53000893321938,508964402235,402398750,646201132,0,510013002117
2498600008341437,174062833362782,324286175576,3161414427339,58685380448,42284151197162,78716849913,13627128730,57743,42376495233548,339523226443,120907753,1316461270,0,340960595466
2217762743088597,185910530625019,322733624968,2780844306315,55039124124,40231522395154,65033688567,12382277445,54634,40308938415800,611830868292,132518303,1325855364,0,613289241959
1814268178532771,130347468929042,256142556156,2284750000875,42286218872,33692012931322,59281235269,10649868800,51601,33761944086992,413077515008,56455278,1344925000,0,414478895286
2620620274642577,199644485068734,360605320652,3386141751541,60617383452,48259214585644,85893175717,13162511296,57689,48358270330346,428756095910,32450429,2055862165,0,430844408504
2101612201748156,153685455192142,305195473308,2621083855168,47772913728,40101719003766,65503390852,12631824148,55773,40179854274539,346595390102,62941386,1723568034,0,348381899522
2731501636365779,196611951580098,367546228968,3509019502070,65932355376,45991405205635,79724445729,11055204434,19108,46082184874906,451030808241,79201113,2036165302,0,453146174656
2704348041301604,196513595143920,372280340107,3310541656020,71217995476,43547143186728,65555960676,11235212605,47953,43623934407962,362507158130,51036220,2573607864,0,365131802214
2133059306892947,155764121128751,312144464177,2629125131286,51822687424,39085490638480,65906785101,11714332290,53878,39163111809749,190293434480,42975892,1591199917,0,191927610289
