nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,started_at,finished_at,nps,occurrences,hash,fen,account_id,worker_id,name
5219439370,884167846,1828241,125731747,286516,93966796,422530,70647,0,1935280,9,3131,0,1739411027,1739411095,1.5351293e+08,2,7807256936136818650,r3kb1r/p1ppqp2/bn2pnpB/3PN3/1p2P3/2N2Q1P/PPP1BP1P/R3K2R b KQkq - 0 1,1,3,Timmoth
7544972534,1155636917,2525983,183370373,362576,101930923,1088282,188741,0,950240,6,8305,0,1739411038,1739411068,5.0299818e+08,2,14042742832976499892,r3kb1r/p1ppqp2/bn2pnp1/3PN3/1p2P3/2N3QP/PPPBBP1P/R3K2R b KQkq - 0 1,1,0,Timmoth
6062940570,1024830584,2127494,153333848,333996,101380102,2312872,353167,0,1173135,664,17097,0,1739411038,1739411068,4.0419603e+08,2,9208300434974341333,r3kb1r/p1ppqp2/bn2pnp1/3PN2Q/1p2P3/2N4P/PPPBBP1P/R3K2R b KQkq - 0 1,1,0,Timmoth
4833590440,806335641,1761954,0,328512,89813146,498600,78838,0,1680287,3,3719,0,1739411038,1739411065,3.5804374e+08,2,2424638593777466345,r3kb1r/p1ppqp2/bn2pnp1/3PN3/1p2P3/2N2Q1P/PPPBBP1P/R4K1R b kq - 0 1,1,0,Timmoth
6152222468,984283103,2146376,0,359056,107372824,506652,79613,0,1945555,3,3759,0,1739411038,1739411068,4.1014816e+08,2,16376972803359659755,r3kb1r/p1ppqp2/bn2pnp1/3PN3/1p2P3/2N2Q1P/PPPBBP1P/R4RK1 b kq - 0 1,1,0,Timmoth
8205767552,1676479357,2874343,132102258,386436,190050625,2226599,121284,0,5200446,23,315,0,1739405726,1739405819,1.7646811e+08,2,15597459500946991001,r3k1nr/p1ppqpb1/bn2p1p1/3PN3/1p2P3/P4Q1p/1PPBBPPP/R2NK2R b KQkq - 0 1,1,0,Timmoth
10048530470,2060064397,3344776,251086779,386396,217773921,2413476,122217,0,6205658,23,314,0,1739405726,1739405823,1.03593096e+08,1,180098785372681907,r3k1nr/p1ppqpb1/bn2p1p1/3PN3/1p2P3/P4Q1p/NPPBBPPP/R3K2R b KQkq - 0 1,1,0,Timmoth
6956708668,1166578106,2344361,169290583,434556,134510560,1030536,102549,0,2271858,24,670,0,1739411051,1739411087,3.864838e+08,2,6535147868092423635,1r2k2r/p1ppqpb1/bn2pnpB/3PN3/1p2P3/2N2Q1P/PPP1BP1P/R3K2R b KQk - 0 1,1,0,Timmoth
8623474644,1318563714,2892329,212881348,527192,115583961,1325988,246078,0,555663,0,1396,0,1739411065,1739411102,2.3306688e+08,1,17393971117736148029,1r2k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N4P/PPPBBPQP/R3K2R b KQk - 0 1,1,0,Timmoth
6998065792,1067509197,2360888,191373213,486912,101713420,738484,235928,0,190768,0,585,0,1739411065,1739411102,3.7827382e+08,2,5280834581509483831,1r2k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2NQ3P/PPPBBP1P/R3K2R b KQk - 0 1,1,0,Timmoth
8162883001,1326532781,2627018,207338122,525560,123986880,1285037,118303,0,566412,0,647,0,1739411065,1739411102,4.4123693e+08,2,13914320487148618613,1r2k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N1Q2P/PPPBBP1P/R3K2R b KQk - 0 1,1,0,Timmoth
6787297105,1154857064,2206825,183540198,182400,272445021,655504,26912,0,2712817,0,116,0,1739411086,1739411119,4.1135133e+08,2,15125791934422414873,2r1k2r/p1ppqpb1/bn2pnp1/1N1PN3/1p2P3/5Q1P/PPPBBP1P/R3K2R b KQk - 0 1,1,0,Timmoth
7217345940,1014273132,2416703,185461938,212128,210719854,14875193,3179212,0,336228,0,21807,0,1739411086,1739411121,4.1241978e+08,2,17458018541093074547,2r1k2r/p1pNqpb1/bn2pnp1/3P4/1p2P3/2N2Q1P/PPPBBP1P/R3K2R b KQk - 0 1,1,0,Timmoth
10310581388,1937087878,1201553,246507250,382100,186756559,2739806,68894,0,2711110,65,238,0,1739405736,1739405877,1.4624938e+08,2,580689155884591931,r3k1nr/p1ppqpb1/bnN1p1p1/3P4/1p2P3/P1N2Q1p/1PPBBPPP/R3K2R b KQkq - 0 1,1,3,Timmoth
5964099982,1017911954,2124928,102734324,506864,97521567,989356,83172,0,3520962,0,6481,0,1739411095,1739411144,2.4343266e+08,2,6479797302907061864,3rk2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/5Q1P/PPPBBP1P/R2NK2R b KQk - 0 1,1,3,Timmoth
6006990357,820392703,2213259,154262213,535088,84331446,571356,6119,0,5286307,49,131,0,1739411095,1739411158,1.9069811e+08,2,18000301366290463710,3rk2r/p1ppqpb1/bn2pnN1/3P4/1p2P3/2N2Q1P/PPPBBP1P/R3K2R b KQk - 0 1,1,3,Timmoth
