nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,total_checks,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,total_mates
60403292887824,3781429586500,7226975657,47950695749,510683964,940175468825,1081854938,259153592,465,941516477820,7962175461,689303,5756953,0,7968621717
85054341127064,5183909357039,17387062816,53273226142,4935862248,1093333067728,1677261711,326857993,891,1095337188323,9680944353,630527,270270,0,9681845150
79510326025357,4911821932466,8278204037,57018844923,511397628,1049520894080,1598481692,331419564,7496,1051450802832,9743228573,549511,290423,0,9744068507
80419308561211,5424287328683,22174146634,56386340414,6433806844,1134059570912,6471345134,363424076,1111,1140894341233,9685081984,806314,19167996,0,9705056294
92235553734553,6738289209181,8508809050,56292211020,516588672,2243386831619,3038440454,536250366,602,2246961523041,16030803903,901197,177266010,0,16208971110
103605670223681,7718256686923,26766772796,39204991035,6473217784,1985381087222,9264873467,961766721,991,1995607728401,13569880533,616920,361275850,0,13931773303
151857971385067,9009819101822,11302325916,53070360269,484462536,1610939291614,3044080141,409799179,950,1614393171884,11195706871,1147306,18447544,0,11215301721
211583204457112,15343859457771,42522538632,140288146134,7121909120,3249083886703,5371660970,2114463349,30458,3256570041480,25585222192,1771849,19971535,0,25606965576
241074613621302,17352063812697,13218452691,545866663826,510531996,6746037988761,4872077703,661027095,708,6751571094267,87246424203,9205940,39201492,0,87294831635
245841494675197,18831519090364,44554830971,528300079352,5046939884,6401614862926,5695272787,1247063907,4869,6408557204489,83575351448,13235340,30765869,0,83619352657
51614296095395,2896692611474,6916463273,23435906388,491797396,608060549461,1345106317,257711055,847,609663367680,2057486704,587825,18184443,0,2076258972
68372448303691,4468930537486,20876956539,46995600722,5415343244,1021668627637,1965311601,296210737,680,1023930150655,8462341237,1251427,18509088,0,8482101752
82762826570051,5171565303213,8480803566,156924906781,514408728,1385743502161,1946874761,370288092,1132,1388060666146,10108860715,1397986,18556761,0,10128815462
73966186324024,4834643959253,21066318104,145036155241,3982829632,919027656098,5012504594,379093839,877,924419255408,3408139461,698734,16870903,0,3425709098
60097879424719,3745116005518,7223590914,26790102682,510604692,950531683579,1179290559,274011630,875,951984986643,7856495872,525987,18322131,0,7875343990
86739921618220,5373862522583,17494875025,49947128695,4313881212,1219895694356,1706017188,356968773,1767,1221958682084,9901335237,1987387,18616409,0,9921939033
70080800068168,4629583458214,7091978235,65905436212,454249424,1574360019525,3558047680,983837747,472,1578901905424,9863345356,533625,479433329,0,10343312310
91451554526572,6178820792177,7728207444,71477373159,431798240,2302639758760,3123779368,673672472,618,2306437211218,12675716927,796468,203257803,0,12879771198
89933046388964,6177473799777,7666793313,257465750267,437242112,1361862405425,3845124243,545812897,875,1366253343440,10440881283,15335533,62327529,0,10518544345
71046267678634,4765217271426,7117511795,219713544555,463377504,1271148054270,1697444997,373019309,759,1273218519335,11626504292,7675497,27247288,0,11661427077
