nodes,captures,enpassants,castles,promotions,direct_checks,single_discovered_check,direct_discovered_check,double_discovered_check,direct_checkmate,single_discovered_checkmate,direct_discoverd_checkmate,double_discoverd_checkmate,started_at,finished_at,nps,occurrences,hash,fen,account_id,worker_id,name
866185474632,75355414217,125696223,1343513687,11506816,28600860147,40686112,9406426,2,22655183,39325,1887,0,1740586603,1740596054,3.6660058e+08,4,8306990487717906617,rnbqkbnr/1ppp1ppp/8/p3p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 1,8,3,ShenniganMan
300899816330,16583694855,8846364,190743394,0,1633913598,1322650,187272,0,18706545,148,0,0,1739163167,1739169872,8.9753856e+07,2,17311501233568504023,rn1qkbnr/ppp1pppp/3p4/8/8/2P4b/PP1PPPP1/RNBQKBNR w KQkq - 0 1,1,0,Timmoth
378062010672,26069980365,46256572,616163374,7291744,5567653885,7490678,490614,0,6028956,3841,1196,0,1739604052,1739609409,1.4114691e+08,4,2223370612420923394,rnbqkb1r/ppppppp1/5n2/7p/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 1,1,0,Timmoth
705650316242,47900152375,22813557,497297942,0,7862337587,13946090,6144155,0,11885938,15057,170,0,1740511785,1740520019,3.427983e+08,4,4177968840177962878,rnbqkbnr/ppp1pp1p/3p2p1/8/P3P3/8/1PPP1PPP/RNBQKBNR w KQkq - 0 1,8,1,ShenniganMan
70182188396,3820963093,4598003,15317508,0,1865455836,4817338,612158,3,23327713,2882,147082,0,1739021693,1739022703,2.7794925e+08,4,8672789989336919337,r1bqkbnr/ppppppp1/n6p/8/8/1P3P2/P1PPP1PP/RNBQKBNR w KQkq - 0 1,1,0,Timmoth
296709384597,16879092541,44210668,54865094,4710644,3026196865,2909407,159374,0,6296008,546,449,0,1740441590,1740446874,5.615242e+07,2,17122748773967612458,rnbqkbnr/p1ppppp1/1p6/7p/8/3PB3/PPP1PPPP/RN1QKBNR w KQkq - 0 1,1,0,Timmoth
199613136982,13270721998,31276563,185434609,1675004,2739667053,3537000,1462637,28,27219810,5478,4,0,1740135390,1740141702,6.3248776e+07,2,7577482000006962019,rn1qkbnr/ppp1pppp/8/3p4/8/5PPb/PPPPP2P/RNBQKBNR w KQkq - 0 1,5,10,PatrickH
404473486163,21581036555,15448580,278802654,0,3268551380,2680894,257442,0,17423718,696,43,0,1738877111,1738880823,2.1792752e+08,2,3607542516800075962,rnbqkbnr/ppp1pp1p/3p2p1/8/P7/R7/1PPPPPPP/1NBQKBNR w Kkq - 0 1,1,0,Timmoth
375981297361,24465663620,58646945,259655514,3949856,3665410432,2689388,1599399,8,13722048,56,111,0,1738883136,1738887421,1.7548718e+08,4,11117264657843196930,rnbqkbnr/ppp1pp1p/6p1/3p4/P7/5N2/1PPPPPPP/RNBQKB1R w KQkq - 0 1,1,0,Timmoth
165036724045,12669133683,7122760,271350767,0,3264968762,8067525,739185,0,21752608,10,384581,0,1740522438,1740526992,1.4495979e+08,4,10351782549266482341,rnbqkb1r/pp1ppppp/2p2n2/8/P7/7N/1PPPPPPP/RNBQKB1R w KQkq - 0 1,1,3,Timmoth
721845691481,41546392636,20375722,3690830540,0,10902281317,8704311,1410609,0,30089684,1374,21,0,1738888095,1738894398,2.2904829e+08,2,16313211684457323829,rnbqk1nr/ppppbppp/4p3/8/P7/4P3/1PPP1PPP/RNBQKBNR w KQkq - 0 1,1,0,Timmoth
370647240043,24231933028,55454588,577339800,1607796,6900163885,3062477,814741,0,109471689,12641,6,0,1738889825,1738902221,5.9801104e+07,2,8339115466858925141,rnbqkbnr/pppp1ppp/8/4p3/P7/6P1/1PPPPP1P/RNBQKBNR w KQkq - 0 1,5,0,PatrickH
672649452361,68387976284,52810292,575641292,1014644,24796857279,6668958,928913,0,465794545,182275,172659,0,1738898981,1738902908,3.4257674e+08,2,15360410662817510135,rnb1kbnr/pppp1ppp/8/4p3/P6q/1P6/2PPPPPP/RNBQKBNR w KQkq - 0 1,1,0,Timmoth
668203048349,49577756761,24435761,3817712983,541132,18126533408,10539509,1581576,0,94862991,5854,530,0,1738902659,1738910710,1.6599256e+08,2,14399556622990818634,rnbqk1nr/pppp1ppp/3b4/4p3/P3P3/8/1PPP1PPP/RNBQKBNR w KQkq - 0 1,1,0,Timmoth
